L37 | 2025-04-14: Semester 2: Lesson 23

S1 | Vocabulary
1 | kut | angle, corner (of room or object)
2 | odjeća (sg.) | clothes
3 | sanjati (sanjam) | to dream
4 | sreća | happiness
5 | uspjeh | success
6 | sportaš | athlete
7 | medalja | medal
8 | raspravljati (raspravljam) | to discuss
9 | medvjedić | teddy bear
10 | u sredini sobe | in the middle of the room
11 | na desnoj strani sobe | on the right side of the room
12 | pepeljara | ashtray
13 | škare (pl.) | scissors
14 | gumica | eraser
15 | čajnik | kettle
16 | kuhalo | water cooker
17 | daska za rezanje | cutting board
18 | ladica | drawer (in cabinet)
19 | zdjela | bowl
20 | majica | t-shirt
21 | stalka | stand
22 | papuče (pl.) | slippers
23 | bojića | crayon
