L24 | 2024-12-19: Semester 2: Lesson 10

S1 | Vocabulary
1 | uspjeti (uspijem) | to achieve, to succeed
2 | škampi (pl.) | shrimps
3 | položiti (položim) | to lay/put (something), to take or pass an examination
4 | prigovor | complaint, objection
5 | dati (dam) | to give
6 | dići (dignem) | to lift, to rise
7 | glasati (glasam) | to vote
8 | bubnjevi (pl.) | drums
9 | ljutiti (ljutim) | to make angry
10 | trenutno | right now
11 | najviše | the most
12 | blizu + gen. | near
13 | kraj + gen. | next to (spatial), end/border of something
14 | zato | therefore
