L23 | 2024-12-17: Semester 2: Lesson 9

S1 | Vocabulary
1 | pa | so (conjuction) / well, ...
2 | i | and, also, even
3 | svoj | possive pronoun of subject
4 | reći (reknem) | to say (informal)
5 | pregled | examination (e.g. at dentist)
6 | ostaviti (ostavim) | to leave behind
7 | nepušač | non-smoker
8 | ulaz | entrance (act of entering)
9 | besplatan | free
10 | budan | awake
11 | vratiti (vratim) | to return
12 | glava | head
13 | boljeti (bolim) | to hurt
14 | dirati (diram) | to touch (imp.)
15 | opasan | dangerous
16 | itko | anyone
17 | zgrad | building
18 | stepenice (pl.) | stairs 
19 | ocjena | evaluation, grade
20 | pod | floor
21 | igrica | game
