L34 | 2025-03-24: Semester 2: Lesson 20

S1 | Vocabulary
1 | led | ice
2 | knjižara | book store
3 | priroda | nature
4 | zar | makes a negative question with a degree of surprise or disbelief
5 | jedva | barely
6 | jedva čekam | I can barely wait
7 | upitna riječ | question word
8 | zakasniti (zakasnim) | to be late (pf.)
9 | uzeti (uzmem) | to take
10 | izlazak | the action of going out
11 | predivan | wonderful
12 | ljubomoran | jealous
13 | cvjećarnica | florist
14 | ispit | exam
15 | svjež | fresh
16 | otići (odem) | to leave / to go away 
17 | dogovoriti (dogovorim) se | to agree
18 | Majčin dan | Mother's Day
19 | niti | neither
20 | deterdžent za rublje | laundy detergent
